Student,Score
Student 1,1435.718469834972
Student 2,1539.8672723291793
Student 3,1504.1489249025997
Student 4,1414.6852643040954
Student 5,1461.0699874015731
Student 6,1572.5718268548576
Student 7,1368.6660378303463
Student 8,1468.554368557191
Student 9,1553.2968129352766
Student 10,1446.662979886745
Student 11,1456.0556924188973
Student 12,1485.2645515531553
Student 13,1564.5694813062144
Student 14,1458.0549001657675
Student 15,1467.8009020176967
Student 16,1468.282436219074
Student 17,1600.2965041362727
Student 18,1599.3393044486893
Student 19,1540.2026948939438
Student 20,1509.309319958743
Student 21,1526.8684287948122
Student 22,1564.53660140754
Student 23,1443.2083065798804
Student 24,1548.7914522391052
Student 25,1427.3059666125494
Student 26,1458.1124248773294
Student 27,1535.355259790015
Student 28,1418.5659649887016
Student 29,1482.9965639905668
Student 30,1446.9122552070157
Student 31,1477.21903147347
Student 32,1350.0705447269638
Student 33,1401.4233447745078
Student 34,1455.0061382701042
Student 35,1536.373121587929
Student 36,1481.3182158604893
Student 37,1490.1422957948405
Student 38,1524.4111355551142
Student 39,1446.0231828495473
Student 40,1504.1813661903645
